,City,Country,Latitude,Longitude,Cloudiness,Humidity,Temperature,Wind Speed
0,Sabang,ID,5.8933,95.3214,100,71,83.01,8.81
1,Nikolskoye,RU,59.7035,30.7861,94,93,44.49,8.14
2,Tigil,RU,57.8,158.6667,8,82,40.08,3.38
3,Pasighat,IN,28.0667,95.3333,26,55,93.09,4.07
4,Kavieng,PG,-2.5744,150.7967,99,78,80.8,25.99
5,Lahat,ID,-3.8,103.5333,62,60,87.24,1.21
6,Buchanan,LR,5.8808,-10.0467,100,91,75.33,7.23
7,Broken Hill,AU,-31.95,141.4333,23,29,60.51,6.91
8,Busselton,AU,-33.65,115.3333,96,83,61.05,20.15
9,Miri,MY,4.4148,114.0089,40,94,75.34,4.61
10,Luderitz,NA,-26.6481,15.1594,0,48,62.6,21.61
11,Posadas,AR,-27.3671,-55.8961,0,82,53.08,6.91
12,Ulladulla,AU,-35.35,150.4667,42,77,49.82,6.13
13,Jamestown,US,42.097,-79.2353,75,97,64.94,3.0
14,Inongo,CD,-1.95,18.2667,30,75,75.34,4.74
15,Mataura,NZ,-46.1927,168.8643,69,81,45.48,4.34
16,Ponta Do Sol,PT,32.6667,-17.1,32,71,76.77,5.68
17,Kavaratti,IN,10.5669,72.642,92,80,81.37,18.5
18,Montepulciano,IT,43.1017,11.7868,100,36,71.69,3.91
19,Bilibino,RU,68.0546,166.4372,100,99,37.69,4.5
20,Lubbock,US,33.6001,-101.8338,75,78,68.5,5.01
21,San Quintin,MX,30.4833,-115.95,0,81,68.56,8.41
22,Darhan,MN,49.4867,105.9228,1,55,66.78,9.15
23,Lebu,CL,-37.6167,-73.65,7,86,44.71,5.55
24,Almeria,ES,37.1667,-2.3333,54,48,69.91,2.68
25,Pisco,PE,-13.7,-76.2167,90,82,60.85,8.05
26,Margate,GB,51.3813,1.3862,97,83,62.2,10.6
27,Te Anau,NZ,-45.4167,167.7167,62,96,36.75,1.97
28,Mach,PK,29.8637,67.3298,0,32,91.51,6.78
29,Port Alberni,CA,49.2413,-124.8028,92,80,56.55,4.0
30,Nemuro,JP,43.3236,145.575,2,66,50.43,6.15
31,Albany,US,42.6001,-73.9662,100,92,67.41,7.07
32,Pangnirtung,CA,66.1451,-65.7125,100,63,32.95,1.99
33,Baturaja,ID,-4.1333,104.1667,62,56,88.25,0.72
34,Lobito,AO,-12.3481,13.5456,12,76,74.08,6.44
35,Lagoa,PT,39.05,-27.9833,22,72,68.25,1.66
36,Ocampo,MX,21.65,-101.5,93,89,56.14,2.8
37,Saint-Philippe,RE,-21.3585,55.7679,27,70,76.95,11.97
38,Salalah,OM,17.0151,54.0924,75,84,86.09,13.8
39,Balkanabat,TM,39.5108,54.3671,0,36,90.32,6.89
40,Arraial Do Cabo,BR,-22.9661,-42.0278,81,94,71.56,8.05
41,Lasa,IT,46.6166,10.7002,100,73,64.92,4.83
42,Natalinsk,RU,56.4739,57.8698,100,84,58.01,14.0
43,Vaini,TO,-21.2,-175.2,20,100,73.56,3.44
44,Kapaa,US,22.0752,-159.319,75,76,74.57,19.57
45,Port Keats,AU,-14.25,129.55,41,53,84.27,7.31
46,Yellowknife,CA,62.456,-114.3525,90,100,48.72,8.05
47,Bontang,ID,0.1333,117.5,100,93,74.59,9.19
48,Dingle,PH,10.9995,122.6711,52,82,83.28,5.26
49,Fukue,JP,32.6881,128.8419,75,88,77.36,17.27
50,Hilo,US,19.7297,-155.09,75,84,70.83,6.91
51,Puerto Ayora,EC,-0.7393,-90.3518,80,90,67.55,3.0
52,Rikitea,PF,-23.1203,-134.9692,98,80,73.71,16.08
53,Henties Bay,NA,-22.116,14.2845,1,72,56.86,14.61
54,Eyl,SO,7.9803,49.8164,100,42,92.61,24.18
55,Ixtapa,MX,20.7,-105.2,66,96,76.23,2.82
56,Husavik,IS,66.0449,-17.3389,10,65,49.91,9.15
57,Butaritari,KI,3.0707,172.7902,15,75,82.83,11.77
58,Xai-Xai,MZ,-25.0519,33.6442,0,31,92.1,12.97
59,Sibolga,ID,1.7427,98.7792,97,63,84.9,4.92
60,Atuona,PF,-9.8,-139.0333,30,81,77.2,21.21
61,Port Lincoln,AU,-34.7333,135.8667,25,72,56.03,10.4
62,Suntar,RU,62.1444,117.6319,82,45,54.36,6.49
63,General Nakar,PH,14.7631,121.635,69,76,84.97,4.76
64,Shache,CN,38.4167,77.2406,7,14,87.58,6.42
65,Saint-Pierre,RE,-21.3393,55.4781,0,65,77.31,14.97
66,Lensk,RU,60.7253,114.9278,90,59,52.36,3.24
67,Hamilton,US,39.1834,-84.5333,90,92,68.59,0.0
68,San Vicente,AR,-26.6167,-54.1333,80,94,51.22,6.31
69,Jumla,NP,29.2747,82.1838,92,80,67.28,4.63
70,Neuquen,AR,-38.9516,-68.0591,0,61,42.69,3.44
71,Coromandel,BR,-18.4733,-47.2003,72,35,68.16,2.89
72,Anadyr,RU,64.75,177.4833,0,75,41.5,6.71
73,Lorengau,PG,-2.0226,147.2712,87,85,80.33,10.2
74,Sulphur,US,30.2366,-93.3774,90,100,73.24,4.61
75,Wamba,NG,8.9333,8.6,100,82,77.47,3.42
